Frequency,Z_real,Z_imag
0.0,745.4981020442076,0.0
250.0,580.4992175175885,-245.51088700531426
500.0,417.243475478787,-260.949608141554
750.0,336.0820933366949,-236.51743781103067
1000.0,290.59547036871413,-215.72578482112007
1250.0,259.9340837663707,-200.70228055200266
1500.0,236.16113339990974,-189.18064479395636
1750.0,216.57291476755884,-179.52383979083692
2000.0,199.74781752300638,-170.64556640019043
2250.0,185.43348020345877,-162.3382900682232
2500.0,173.34923761522543,-154.22290469331247
2750.0,162.81978095200645,-146.61547207584505
3000.0,153.4448069102924,-139.24559979516252
3250.0,145.09317845238849,-132.2086025249828
3500.0,138.14588125684585,-125.38605821436823
3750.0,132.06108647602548,-118.9478529759839
4000.0,126.72201148292858,-112.82381974646371
4250.0,121.98112577009809,-107.01217295828421
4500.0,117.73654420559637,-101.32316899170796
4750.0,114.20365294903006,-96.09356491742017
5000.0,111.11335696942875,-91.11002397515405
5250.0,108.37982252314494,-86.32892851595552
5500.0,105.71405733493036,-81.67149200350273
5750.0,103.44205399033552,-77.27079327404329
6000.0,101.46421604324149,-73.25702035111267
6250.0,99.39568130118866,-69.09115911935321
6500.0,97.53543392752636,-65.34408240750713
6750.0,96.42717807452942,-61.72429637425458
7000.0,94.66841587995535,-58.11550023133339
7250.0,93.46783206833678,-54.752097651331326
7500.0,92.55126944774209,-51.47827061811508
7750.0,91.63854847810254,-48.31457697816339
8000.0,90.51478679788683,-45.30251577259668
8250.0,89.89618560040844,-42.33106556287429
8500.0,89.18940658109054,-39.38692327107711
8750.0,88.51410778660525,-36.64557326085594
9000.0,87.71756587026279,-33.865398513421574
9250.0,87.17386900557787,-31.271713991554062
9500.0,86.64628957028162,-28.636762301748416
9750.0,86.2292662934188,-26.0484424587741
10000.0,86.11637557968169,-23.40164437392828
10250.0,85.76135486414562,-21.07470728694486
10500.0,85.18006304086042,-18.667366123785648
10750.0,84.8983010435206,-16.29508888770218
11000.0,84.96518248491688,-14.03086157432643
11250.0,84.5036442755688,-11.552464648746124
11500.0,84.57819311820556,-9.209911243626152
11750.0,84.46485300957534,-6.928213244624327
12000.0,84.20960040990832,-4.594881710955934
12250.0,84.1599970800306,-2.3143117713450723
12500.0,87.27272727899414,1.5888698621003536e-08
