timestamp_sec,timestamp_nanosec,integrated_x,integrated_y,frame_id,last_squal
1701438663.0,489017997.0,-0.0,-0.0,5167.0,47.0
1701438663.0,959796882.0,-0.0,-0.0,5167.0,59.0
1701438664.0,19831705.0,-0.0,-0.0,5167.0,50.0
1701438664.0,51110638.0,-0.0,-0.0,5167.0,51.0
1701438664.0,100047371.0,-0.0,-0.0,5167.0,50.0
1701438664.0,130943856.0,-0.0,-0.0,5167.0,52.0
1701438664.0,200229506.0,-0.0,-0.0,5167.0,56.0
1701438664.0,250429206.0,-0.0,-0.0,5167.0,55.0
1701438664.0,310379190.0,-0.0,-0.0,5167.0,52.0
1701438664.0,360677099.0,-0.0,-0.0,5167.0,59.0
1701438664.0,410788131.0,-0.0,-0.0,5167.0,48.0
1701438664.0,450983228.0,-0.0,-0.0,5167.0,54.0
1701438664.0,570265179.0,-0.0,-0.0,5167.0,50.0
1701438664.0,600977196.0,-0.0,-0.0,5167.0,56.0
1701438664.0,630961335.0,-0.0,-0.0,5167.0,49.0
1701438664.0,651457823.0,-0.0,-0.0,5167.0,50.0
1701438664.0,711094561.0,-0.0,-0.0,5167.0,51.0
1701438664.0,741144384.0,-0.0,-0.0,5167.0,50.0
1701438664.0,851731615.0,-0.0,-0.0,5167.0,52.0
1701438664.0,871409058.0,-0.0,-0.0,5167.0,53.0
1701438664.0,902995703.0,-0.0,-0.0,5167.0,43.0
1701438664.0,951526981.0,-0.0,-0.0,5167.0,51.0
1701438664.0,982965483.0,-0.0,-0.0,5167.0,51.0
1701438665.0,51880439.0,-0.0,-0.0,5167.0,56.0
1701438665.0,91905483.0,-0.0,-0.0,5167.0,54.0
1701438665.0,143173348.0,-0.0,-0.0,5167.0,49.0
1701438665.0,212469024.0,-0.0,-0.0,5167.0,51.0
1701438665.0,251284444.0,-0.0,-0.0,5167.0,49.0
1701438665.0,303134158.0,-0.0,-0.0,5167.0,54.0
1701438665.0,351265579.0,-0.0,-0.0,5167.0,49.0
1701438665.0,402476755.0,-0.0,-0.0,5167.0,53.0
1701438665.0,452465464.0,-0.0,-0.0,5167.0,47.0
1701438665.0,492686954.0,-0.0,-0.0,5167.0,55.0
1701438665.0,543460665.0,-0.0,-0.0,5167.0,55.0
1701438665.0,612757666.0,-0.0,-0.0,5167.0,53.0
1701438665.0,653045786.0,-0.0,-0.0,5167.0,48.0
1701438665.0,703585335.0,-0.0,-0.0,5167.0,50.0
1701438665.0,773207933.0,-0.0,-0.0,5167.0,42.0
1701438665.0,803083241.0,-0.0,-0.0,5167.0,55.0
1701438665.0,852329690.0,-0.0,-0.0,5167.0,53.0
1701438665.0,893482007.0,-0.0,-0.0,5167.0,43.0
1701438665.0,943832251.0,-0.0,-0.0,5167.0,51.0
1701438666.0,13830513.0,-0.0,-0.0,5167.0,47.0
1701438666.0,54770415.0,-0.0,-0.0,5167.0,52.0
1701438666.0,105121890.0,-0.0,-0.0,5167.0,57.0
1701438666.0,155871974.0,-0.0,-0.0,5167.0,56.0
1701438666.0,215091527.0,-0.0,-0.0,5167.0,50.0
1701438666.0,254922651.0,-0.0,-0.0,5167.0,50.0
1701438666.0,295233307.0,-0.0,-0.0,5167.0,50.0
1701438666.0,344053430.0,-0.0,-0.0,5167.0,58.0
1701438666.0,414252108.0,-0.0,-0.0,5167.0,48.0
1701438666.0,454565858.0,-0.0,-0.0,5167.0,45.0
1701438666.0,504339705.0,-0.0,-0.0,5167.0,49.0
1701438666.0,554873983.0,-0.0,-0.0,5167.0,57.0
1701438666.0,604548380.0,-0.0,-0.0,5167.0,57.0
1701438666.0,654956754.0,-0.0,-0.0,5167.0,54.0
1701438666.0,714758761.0,-0.0,-0.0,5167.0,51.0
1701438666.0,764951499.0,-0.0,-0.0,5167.0,57.0
1701438666.0,815548802.0,-0.0,-0.0,5167.0,42.0
1701438666.0,855250060.0,-0.0,-0.0,5167.0,58.0
1701438666.0,905081144.0,-0.0,-0.0,5167.0,46.0
1701438666.0,934313286.0,-0.0,-0.0,5167.0,61.0
1701438666.0,985437839.0,-0.0,-0.0,5167.0,57.0
1701438667.0,66687389.0,-0.0,-0.0,5167.0,48.0
1701438667.0,145721222.0,-0.0,-0.0,5167.0,51.0
1701438667.0,205504086.0,-0.0,-0.0,5167.0,53.0
1701438667.0,246921373.0,-0.0,-0.0,5167.0,59.0
1701438667.0,327059117.0,-0.0,-0.0,5167.0,51.0
1701438667.0,406876602.0,-0.0,-0.0,5167.0,51.0
1701438667.0,416381655.0,-0.0,-0.0,5167.0,53.0
1701438667.0,466099130.0,-0.0,-0.0,5167.0,53.0
1701438667.0,523350551.0,-0.0,-0.0,5167.0,51.0
1701438667.0,546381171.0,-0.0,-0.0,5167.0,50.0
