timestamp_sec,timestamp_nanosec,translation_x,translation_y,translation_z,rotation_x,rotation_y,rotation_z,rotation_w
1701438663,984677978,0,0,0,0,0,7.89E-05,1
1701438664,32100746,0,0,0,0,0,7.89E-05,1
1701438664,79730083,0,0,0,0,0,7.89E-05,1
1701438664,145113582,0,0,0,0,0,7.89E-05,1
1701438664,192179246,0,0,0,0,0,7.89E-05,1
1701438664,239274034,0,0,0,0,0,7.89E-05,1
1701438664,288351295,0,0,0,0,0,7.89E-05,1
1701438664,336429218,0,0,0,0,0,7.89E-05,1
1701438664,384950266,0,0,0,0,0,7.89E-05,1
1701438664,433216874,0,0,0,0,0,7.89E-05,1
1701438664,480574601,0,0,0,0,0,7.89E-05,1
1701438664,545062473,0,0,0,0,0,7.89E-05,1
1701438664,592334384,0,0,0,0,0,7.89E-05,1
1701438664,640968345,0,0,0,0,0,7.89E-05,1
1701438664,689013994,0,0,0,0,0,7.89E-05,1
1701438664,738130825,0,0,0,0,0,7.89E-05,1
1701438664,786177979,0,0,0,0,0,7.89E-05,1
1701438664,833376739,0,0,0,0,0,7.89E-05,1
1701438664,897678405,0,0,0,0,0,7.89E-05,1
1701438664,929802612,0,0,0,0,0,7.89E-05,1
1701438664,994755004,0,0,0,0,0,7.89E-05,1
1701438665,41715387,0,0,0,0,0,7.89E-05,1
1701438665,89302298,0,0,0,0,0,7.89E-05,1
1701438665,137855799,0,0,0,0,0,7.89E-05,1
1701438665,186056564,0,0,0,0,0,7.89E-05,1
1701438665,235014306,0,0,0,0,0,7.89E-05,1
1701438665,281416590,0,0,0,0,0,7.89E-05,1
1701438665,329458746,0,0,0,0,0,7.89E-05,1
1701438665,395206704,0,0,0,0,0,7.89E-05,1
1701438665,442585471,0,0,0,0,0,7.89E-05,1
1701438665,490551496,0,0,0,0,0,7.89E-05,1
1701438665,538562525,0,0,0,0,0,7.89E-05,1
1701438665,586787475,0,0,0,0,0,7.89E-05,1
1701438665,635763894,0,0,0,0,0,7.89E-05,1
1701438665,683002535,0,0,0,0,0,7.89E-05,1
1701438665,731064434,0,0,0,0,0,7.89E-05,1
1701438665,795967470,0,0,0,0,0,7.89E-05,1
1701438665,843676165,0,0,0,0,0,7.89E-05,1
1701438665,892181345,0,0,0,0,0,7.89E-05,1
1701438665,939256359,0,0,0,0,0,7.89E-05,1
1701438665,987482620,0,0,0,0,0,7.89E-05,1
1701438666,35497100,0,0,0,0,0,7.89E-05,1
1701438666,99836586,0,0,0,0,0,7.89E-05,1
1701438666,132111301,0,0,0,0,0,7.89E-05,1
1701438666,195531700,0,0,0,0,0,7.89E-05,1
1701438666,244816450,0,0,0,0,0,7.89E-05,1
1701438666,292104374,0,0,0,0,0,7.89E-05,1
1701438666,339967445,0,0,0,0,0,7.89E-05,1
1701438666,387400621,0,0,0,0,0,7.89E-05,1
1701438666,436210915,0,0,0,0,0,7.89E-05,1
1701438666,484591167,0,0,0,0,0,7.89E-05,1
1701438666,548347966,0,0,0,0,0,7.89E-05,1
1701438666,596816860,0,0,0,0,0,7.89E-05,1
1701438666,644521400,0,0,0,0,0,7.89E-05,1
1701438666,692675404,0,0,0,0,0,7.89E-05,1
1701438666,740635134,0,0,0,0,0,7.89E-05,1
1701438666,788711911,0,0,0,0,0,7.89E-05,1
1701438666,836891019,0,0,0,0,0,7.89E-05,1
1701438666,885174828,0,0,0,0,0,7.89E-05,1
1701438666,949043857,0,0,0,0,0,7.89E-05,1
1701438666,997717180,0,0,0,0,0,7.89E-05,1
1701438667,53569954,0,0,0,0,0,7.89E-05,1
1701438667,94645977,0,0,0,0,0,7.89E-05,1
1701438667,217884467,0,0,0,0,0,7.89E-05,1
1701438667,237419528,0,0,0,0,0,7.89E-05,1
1701438667,301421582,0,0,0,0,0,7.89E-05,1
1701438667,317496167,0,0,0,0,0,7.89E-05,1
1701438667,399805534,0,0,0,0,0,7.89E-05,1
1701438667,446175684,0,0,0,0,0,7.89E-05,1
1701438667,462202821,0,0,0,0,0,7.89E-05,1
1701438667,541622272,0,0,0,0,0,7.89E-05,1
1701438667,590384462,0,0,0,0,0,7.89E-05,1
1701438667,664380991,0,0,0,0,0,7.89E-05,1
1701438667,686071226,0,0,0,0,0,7.89E-05,1
1701438667,734670670,0,0,0,0,0,7.89E-05,1
1701438667,845429593,0,0,0,0,0,7.89E-05,1
1701438667,895219089,0,0,0,0,0,7.89E-05,1
1701438667,910564636,0,0,0,0,0,7.89E-05,1
1701438667,992326425,0,0,0,0,0,7.89E-05,1
1701438668,111040166,0,0,0,0,0,7.89E-05,1
1701438668,152060389,0,0,0,0,0,7.89E-05,1
1701438668,210344287,0,0,0,0,0,7.89E-05,1
1701438668,248097281,0,0,0,0,0,7.89E-05,1
1701438668,295527221,0,0,0,0,0,7.89E-05,1
1701438668,311432599,0,0,0,0,0,7.89E-05,1
1701438668,403289265,0,0,0,0,0,7.89E-05,1
1701438668,439712690,0,0,0,0,0,7.89E-05,1
1701438668,566052395,0,0,0,0,0,7.89E-05,1
